"t"	"p_{exp}, {/Symbol l}=0.5"	"p_{theor}, {/Symbol l}=0.5"	
0.1	0.044	0.0487706	
0.2	0.087	0.0951626	
0.3	0.131	0.139292	
0.4	0.17	0.181269	
0.5	0.203	0.221199	
0.6	0.233	0.259182	
0.7	0.265	0.295312	
0.8	0.298	0.32968	
0.9	0.339	0.362372	
1	0.362	0.393469	
1.1	0.39	0.42305	
1.2	0.421	0.451188	
1.3	0.442	0.477954	
1.4	0.468	0.503415	
1.5	0.503	0.527633	
1.6	0.527	0.550671	
1.7	0.553	0.572585	
1.8	0.581	0.59343	
1.9	0.607	0.613259	
2	0.627	0.632121	
2.1	0.646	0.650062	
2.2	0.669	0.667129	
2.3	0.687	0.683363	
2.4	0.702	0.698806	
2.5	0.721	0.713495	
2.6	0.732	0.727468	
2.7	0.742	0.74076	
2.8	0.759	0.753403	
2.9	0.769	0.76543	
3	0.781	0.77687	
3.1	0.799	0.787752	
3.2	0.81	0.798103	
3.3	0.823	0.80795	
3.4	0.837	0.817316	
3.5	0.847	0.826226	
3.6	0.852	0.834701	
3.7	0.863	0.842763	
3.8	0.866	0.850431	
3.9	0.874	0.857726	
4	0.883	0.864665	
4.1	0.888	0.871265	
4.2	0.895	0.877544	
4.3	0.901	0.883516	
4.4	0.905	0.889197	
4.5	0.909	0.894601	
4.6	0.913	0.899741	
4.7	0.916	0.904631	
4.8	0.917	0.909282	
4.9	0.92	0.913706	
5	0.921	0.917915	
